num_candle,entry_type,entry_type_account,entry_number_candle,entry_condition,entry_amount,entry_registration_date,entry_result,sma_30_value,sma_10_value,rsi_value,movement_open_candle,movement_close_candle,movement_high_candle,movement_low_candle,movement_volume_candle
1,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.07046,1.07041,1.07053,1.070405,181
2,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.06999,1.070085,1.070085,1.06999,129
3,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.07001,1.07001,1.07005,1.06991,212
4,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.069995,1.069995,1.070045,1.069915,162
5,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.070185,1.069995,1.070195,1.069995,148
6,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.07023,1.070205,1.07024,1.070195,159
7,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.070005,1.069965,1.07007,1.069965,180
8,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.070355,1.070325,1.0704,1.070325,152
9,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.07037,1.070425,1.070435,1.070355,143
10,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.069955,1.06985,1.069955,1.06984,62
11,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.07002,1.070015,1.070045,1.06997,173
12,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.07022,1.070285,1.07031,1.07022,121
13,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.07044,1.07037,1.07045,1.07036,160
14,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.07022,1.07026,1.07028,1.070185,134
15,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.070275,1.070365,1.070365,1.070275,124
16,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.07032,1.070225,1.07035,1.070215,141
17,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.07025,1.07026,1.070315,1.07025,167
18,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.070215,1.070225,1.07024,1.07017,115
19,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.07026,1.07022,1.07026,1.07021,129
20,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.070205,1.070215,1.07025,1.070175,163
21,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.0704,1.070345,1.070445,1.070325,154
22,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.070345,1.070295,1.070345,1.07026,103
23,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.07042,1.070395,1.07045,1.07036,168
24,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.07011,1.070025,1.070125,1.07001,155
